          FW          	CUT	SVN	Coex
rtl8761au8192ee_fw    	 D	13328	3736
rtl8761a_fw           	 D	13328	3736
rtl8761au_fw          	 D	21962	0007
rtl8761aw8192eu_fw    	 D	21962	0007
rtl8723ds_fw          	 C	22030	2f2f
rtl8761bt_fw          	 B	22017	0202
rtl8761bs_fw          	 B	21127	0606
rtl8822b_fw           	 C	21525	6c6c
rtl8821cs_fw          	 B	22037	4139
rtl8761at_fw          	 D	21962	0007
rtl8822c_fw           	 D	22017	0d0d
rtl8761b_fw           	 B	22017	0202
rtl8761au8812ae_fw    	 D	19648	0006
rtl8821as_fw          	 B	19884	635d
rtl8821a_fw           	 B	19884	635d
rtl8723bs_fw          	 B	19897	6d50
rtl8725a_fw           	 B	22017	0202
rtl8723b_fw           	 B	19897	6d50
rtl8822cs_fw          	 D	22017	0d0d
rtl8725as_fw          	 B	22017	0202
rtl8821c_fw           	 B	22037	4139
rtl8822bs_fw          	 C	21525	6c6c
rtl8723d_fw           	 C	22030	2f2f
rtl8761at8192er_fw    	 D	21962	0007
rtl8723bs_VQ0_fw      	 B	14422	5844
